item_id,preview_url
44160995,https://videos.pond5.com/044160995_main_nw_xxxl.mp4
121166399,https://videos.pond5.com/121166399_main_nw_xxxl.mp4
108014659,https://videos.pond5.com/108014659_main_nw_xxxl.mp4
133248236,https://videos.pond5.com/133248236_main_nw_xxxl.mp4
88734640,https://videos.pond5.com/088734640_main_nw_xxxl.mp4
94263128,https://videos.pond5.com/094263128_main_nw_xxxl.mp4
109825746,https://videos.pond5.com/109825746_main_nw_xxxl.mp4
164704533,https://videos.pond5.com/164704533_main_nw_xxxl.mp4
135978804,https://videos.pond5.com/135978804_main_nw_xxxl.mp4
148449833,https://videos.pond5.com/148449833_main_nw_xxxl.mp4
162454222,https://videos.pond5.com/162454222_main_nw_xxxl.mp4
88526663,https://videos.pond5.com/088526663_main_nw_xxxl.mp4
101239710,https://videos.pond5.com/101239710_main_nw_xxxl.mp4
143557903,https://videos.pond5.com/143557903_main_nw_xxxl.mp4
164862974,https://videos.pond5.com/164862974_main_nw_xxxl.mp4
65057938,https://videos.pond5.com/065057938_main_nw_xxxl.mp4
121414120,https://videos.pond5.com/121414120_main_nw_xxxl.mp4
27345828,https://videos.pond5.com/027345828_main_nw_xxxl.mp4
119964253,https://videos.pond5.com/119964253_main_nw_xxxl.mp4
92262371,https://videos.pond5.com/092262371_main_nw_xxxl.mp4
92072531,https://videos.pond5.com/092072531_main_nw_xxxl.mp4
77863228,https://videos.pond5.com/077863228_main_nw_xxxl.mp4
119148912,https://videos.pond5.com/119148912_main_nw_xxxl.mp4
162444495,https://videos.pond5.com/162444495_main_nw_xxxl.mp4
152941133,https://videos.pond5.com/152941133_main_nw_xxxl.mp4
157298124,https://videos.pond5.com/157298124_main_nw_xxxl.mp4
107399667,https://videos.pond5.com/107399667_main_nw_xxxl.mp4
46021548,https://videos.pond5.com/046021548_main_nw_xxxl.mp4
12310505,https://videos.pond5.com/012310505_main_nw_xxxl.mp4
64306233,https://videos.pond5.com/064306233_main_nw_xxxl.mp4
108762846,https://videos.pond5.com/108762846_main_nw_xxxl.mp4
58412530,https://videos.pond5.com/058412530_main_nw_xxxl.mp4
91891294,https://videos.pond5.com/091891294_main_nw_xxxl.mp4
1084173,https://videos.pond5.com/001084173_main_nw_xxxl.mp4
105987334,https://videos.pond5.com/105987334_main_nw_xxxl.mp4
102386392,https://videos.pond5.com/102386392_main_nw_xxxl.mp4
149353625,https://videos.pond5.com/149353625_main_nw_xxxl.mp4
81206952,https://videos.pond5.com/081206952_main_nw_xxxl.mp4
1092363,https://videos.pond5.com/001092363_main_nw_xxxl.mp4
118660014,https://videos.pond5.com/118660014_main_nw_xxxl.mp4
100697523,https://videos.pond5.com/100697523_main_nw_xxxl.mp4
103637953,https://videos.pond5.com/103637953_main_nw_xxxl.mp4
145784182,https://videos.pond5.com/145784182_main_nw_xxxl.mp4
143299882,https://videos.pond5.com/143299882_main_nw_xxxl.mp4
75447859,https://videos.pond5.com/075447859_main_nw_xxxl.mp4
81503329,https://videos.pond5.com/081503329_main_nw_xxxl.mp4
93831376,https://videos.pond5.com/093831376_main_nw_xxxl.mp4
132220252,https://videos.pond5.com/132220252_main_nw_xxxl.mp4
119018293,https://videos.pond5.com/119018293_main_nw_xxxl.mp4
10716569,https://videos.pond5.com/010716569_main_nw_xxxl.mp4
99799994,https://videos.pond5.com/099799994_main_nw_xxxl.mp4
88495239,https://videos.pond5.com/088495239_main_nw_xxxl.mp4
68136633,https://videos.pond5.com/068136633_main_nw_xxxl.mp4
83228777,https://videos.pond5.com/083228777_main_nw_xxxl.mp4
156471248,https://videos.pond5.com/156471248_main_nw_xxxl.mp4
156519424,https://videos.pond5.com/156519424_main_nw_xxxl.mp4
115281703,https://videos.pond5.com/115281703_main_nw_xxxl.mp4
75333047,https://videos.pond5.com/075333047_main_nw_xxxl.mp4
109446171,https://videos.pond5.com/109446171_main_nw_xxxl.mp4
64966992,https://videos.pond5.com/064966992_main_nw_xxxl.mp4
85677880,https://videos.pond5.com/085677880_main_nw_xxxl.mp4
64955517,https://videos.pond5.com/064955517_main_nw_xxxl.mp4
